username,userid,url,fromusername,fromuserid,loccount,oid
RzlYQjZCZVRhd3FrMg==                                                                                                                                                                                                                                            ,RzlnQm9qWVVjUDZ2dw==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlrVlFReFlveHB6dw==                                                                                                                                                                                                                                            ,RzlOT1hYeUFPODRKSQ==                                                                                                                                                                                                                                            ,0,4135
RzlvdUJFVUFOTkRVbw==                                                                                                                                                                                                                                            ,RzlvZHdtSGxzREJWcw==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlrVlFReFlveHB6dw==                                                                                                                                                                                                                                            ,RzlOT1hYeUFPODRKSQ==                                                                                                                                                                                                                                            ,0,4137
RzlNaDBxbHNpeWFYSQ==                                                                                                                                                                                                                                            ,RzlMYjhUZUtsb3d6aw==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlFbDVIWG8uVkdNbw==                                                                                                                                                                                                                                            ,RzlpeDFlZlNLNVR3aw==                                                                                                                                                                                                                                            ,0,4189
Rzkwc0dvc25PSHQ1WQ==                                                                                                                                                                                                                                            ,RzlxNkFFNHBZZTZObw==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlMZE15dEpheFBjRQ==                                                                                                                                                                                                                                            ,Rzk4TkxuekxuWHJ0bw==                                                                                                                                                                                                                                            ,21,4226
RzlmeG1aTURxYWlGWQ==                                                                                                                                                                                                                                            ,RzlhVUNQU3pEOUc0RQ==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlrVlFReFlveHB6dw==                                                                                                                                                                                                                                            ,RzlOT1hYeUFPODRKSQ==                                                                                                                                                                                                                                            ,0,4243
RzkzczlHL3J5OVd1RQ==                                                                                                                                                                                                                                            ,RzlOc0tvSmVmLmhKZw==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Rzkwakl1TEcveTJVLg==                                                                                                                                                                                                                                            ,Rzl2RUdPUS5vTFE2Ng==                                                                                                                                                                                                                                            ,0,4284
Rzl4SGRQdzY2N1FJRQ==                                                                                                                                                                                                                                            ,RzlzQ3NSd2ZFZWozWQ==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Rzk4RVl6STBwQWlxQQ==                                                                                                                                                                                                                                            ,RzlSdTZyRThNNGhCTQ==                                                                                                                                                                                                                                            ,83,4295
Rzlycm9LL0puU2RKaw==                                                                                                                                                                                                                                            ,RzlBbUV4azJHSVZVcw==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlZTHFET1lLdlk0Ng==                                                                                                                                                                                                                                            ,RzkyejB3YmNpWndUYw==                                                                                                                                                                                                                                            ,0,4303
RzlxUEVuZHBzS1NMSQ==                                                                                                                                                                                                                                            ,Rzl0OXN3bXBiRkdDLg==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlrVlFReFlveHB6dw==                                                                                                                                                                                                                                            ,RzlOT1hYeUFPODRKSQ==                                                                                                                                                                                                                                            ,0,4353
RzlMZ0ZtelBqVlZpdw==                                                                                                                                                                                                                                            ,RzlxTEh1aW1pN3lDaw==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlXdm4yUVRodUdEVQ==                                                                                                                                                                                                                                            ,RzlrbG4yME1FUFc4VQ==                                                                                                                                                                                                                                            ,12,4430
RzlOTVQwUmdIUG9XMg==                                                                                                                                                                                                                                            ,RzlSRXZiUVVkbzEwbw==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlXdm4yUVRodUdEVQ==                                                                                                                                                                                                                                            ,RzlrbG4yME1FUFc4VQ==                                                                                                                                                                                                                                            ,0,4474
RzlvWXVwNEgubDBXTQ==                                                                                                                                                                                                                                            ,Rzl2L05XVUZyWGsvWQ==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlXdm4yUVRodUdEVQ==                                                                                                                                                                                                                                            ,RzlrbG4yME1FUFc4VQ==                                                                                                                                                                                                                                            ,0,4493
Rzk1d2dYbE5BMm0xTQ==                                                                                                                                                                                                                                            ,Rzlzd3ZSQXpFZDcwLg==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlrVlFReFlveHB6dw==                                                                                                                                                                                                                                            ,RzlOT1hYeUFPODRKSQ==                                                                                                                                                                                                                                            ,0,4508
RzlJN3Rlc1R0RDkuRQ==                                                                                                                                                                                                                                            ,RzlOTmVhaE5TZEJwbw==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Rzkwakl1TEcveTJVLg==                                                                                                                                                                                                                                            ,Rzl2RUdPUS5vTFE2Ng==                                                                                                                                                                                                                                            ,0,4623
Rzl2ajAwdFZSQTQ3Mg==                                                                                                                                                                                                                                            ,RzlISGtMaHM3V21RYw==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Rzkwakl1TEcveTJVLg==                                                                                                                                                                                                                                            ,Rzl2RUdPUS5vTFE2Ng==                                                                                                                                                                                                                                            ,0,4626
RzlkaUN5VDdwSy9uTQ==                                                                                                                                                                                                                                            ,RzlsVk8xU1h5bFNOMg==                                                                                                                                                                                                                                            ,RzlqeUxpenJWVWtQZw==                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,RzlXdm4yUVRodUdEVQ==                                                                                                                                                                                                                                            ,RzlrbG4yME1FUFc4VQ==                                                                                                                                                                                                                                            ,0,4582
