oid,placeid,placename,location,category,num_like,num_tlk,num_act,website,x,y
5679,RzkyMkdUYjkxUmVWTQ==                                                                                                                                                                                                                                            ,RzluSXRXekNCbm14cw==                                                                                                                                                                                                                                            ,01010000009A9999999999C9BF3333333333331640,RzlwWWZlTGZ1dlQxYw==                                                                                                                                                                                                                                            ,148342,3868,181603,Rzk5VjhJM2R4cXouUQ==                                                                                                                                                                                                                                            ,-0.2,5.55
5685,RzlIYVJHUWgyc0Fycw==                                                                                                                                                                                                                                            ,Rzk2S0pDUEJQZmhYSQ==                                                                                                                                                                                                                                            ,010100000030C8484FE3C15F40BF9B7CA314CB4240,Rzlva0FWWVh3ZXhycw==                                                                                                                                                                                                                                            ,3620,206,54501,RzltV0VMOGU5dlN1Lg==                                                                                                                                                                                                                                            ,127.029,37.5866
5828,RzlDcTVTLnh5L0ZpTQ==                                                                                                                                                                                                                                            ,Rzl6RXNpcWF6QS5MLg==                                                                                                                                                                                                                                            ,01010000004BD445E9D6AD62C09DB377227E104E40,Rzlva0FWWVh3ZXhycw==                                                                                                                                                                                                                                            ,20,2,809,Rzk5VjhJM2R4cXouUQ==                                                                                                                                                                                                                                            ,-149.432,60.1288
5924,RzkyZGFlaWVwV0YzZw==                                                                                                                                                                                                                                            ,RzlSNVNOTGFsV0FBaw==                                                                                                                                                                                                                                            ,0101000000200DCA895B7F52C0A8DEA03128614440,RzkvYlVINk9kQzRhWQ==                                                                                                                                                                                                                                            ,2437,145,18322,RzlyWU9YUzI4cGZsMg==                                                                                                                                                                                                                                            ,-73.99,40.759
5850,RzlFU1ZQUy5ueHdLbw==                                                                                                                                                                                                                                            ,RzlKbEhpQjdOdUJabw==                                                                                                                                                                                                                                            ,0101000000A44DC4C84A7E52C0F2CB7D065D654440,Rzlva0FWWVh3ZXhycw==                                                                                                                                                                                                                                            ,5,0,106,RzlyWU9YUzI4cGZsMg==                                                                                                                                                                                                                                            ,-73.9733,40.7919
5675,RzlVSUVVUVFzUzFmZw==                                                                                                                                                                                                                                            ,RzlGT1B0YllVRC5VTQ==                                                                                                                                                                                                                                            ,01010000005917B7D100DEF9BF09F9A067B3AA1A40,RzlWdEF5R1duc0swaw==                                                                                                                                                                                                                                            ,100776,1126,159807,RzlyWU9YUzI4cGZsMg==                                                                                                                                                                                                                                            ,-1.6167,6.6667
5682,RzlrTDQzOEF5NnJhZw==                                                                                                                                                                                                                                            ,RzlSVUUyaDFpTTVSUQ==                                                                                                                                                                                                                                            ,0101000000FF6184A0D1590B40E491828C81B71940,Rzlva0FWWVh3ZXhycw==                                                                                                                                                                                                                                            ,285,4,1401,Rzk5VjhJM2R4cXouUQ==                                                                                                                                                                                                                                            ,3.41886,6.4292
6225,RzlaOXpwSTNlNS5ISQ==                                                                                                                                                                                                                                            ,Rzk5VHdoM1p3RHdtNg==                                                                                                                                                                                                                                            ,0101000000F9933EE993DA54C03B35F1AC68744140,RzlEQ3ZCSTdlMlRrbw==                                                                                                                                                                                                                                            ,484,13,3728,Rzk5VjhJM2R4cXouUQ==                                                                                                                                                                                                                                            ,-83.4153,34.9094
6228,RzlWWjBUaXVTOXI0Yw==                                                                                                                                                                                                                                            ,RzlLMWpQMFZXZHZJUQ==                                                                                                                                                                                                                                            ,0101000000D3D819574FD854C0F4149126D8FA4040,Rzl0d2UzaWlGUERkVQ==                                                                                                                                                                                                                                            ,2230,51,3072,Rzk0djFVaVBLcFgvdw==                                                                                                                                                                                                                                            ,-83.3798,33.9597
6260,RzlqSHo3LnJGcnMwRQ==                                                                                                                                                                                                                                            ,RzlaMy4vSi5QWldQWQ==                                                                                                                                                                                                                                            ,010100000077061E69D01855C0417B1AE066E54040,RzlPMlJ6VUliS0djbw==                                                                                                                                                                                                                                            ,26685,1036,25256,RzlYL0VidEdvYlM3TQ==                                                                                                                                                                                                                                            ,-84.3877,33.7922
5463,RzlrSm1XSFRWSVE2Mg==                                                                                                                                                                                                                                            ,RzlGalV2VDR2Z29YLg==                                                                                                                                                                                                                                            ,01010000007188888888D854C09A99999999F94040,RzlWdEF5R1duc0swaw==                                                                                                                                                                                                                                            ,33819,13704,312188,RzlyWU9YUzI4cGZsMg==                                                                                                                                                                                                                                            ,-83.3833,33.95
5616,RzltdTZxR3kuOC9wZw==                                                                                                                                                                                                                                            ,RzlHeVpNcmVGQVRILg==                                                                                                                                                                                                                                            ,0101000000EA4FA1AFB01855C02964FBA0E4E24040,RzlPMlJ6VUliS0djbw==                                                                                                                                                                                                                                            ,129491,4625,227715,RzluU2plYWZQVHN4RQ==                                                                                                                                                                                                                                            ,-84.3858,33.7726
5748,RzlXVmJvNjE5L0F3QQ==                                                                                                                                                                                                                                            ,RzlEQVFmNGxLRFpBTQ==                                                                                                                                                                                                                                            ,010100000019E1E0601DD854C08818AE6DA6FA4040,Rzlva0FWWVh3ZXhycw==                                                                                                                                                                                                                                            ,430,63,13592,RzlyWU9YUzI4cGZsMg==                                                                                                                                                                                                                                            ,-83.3768,33.9582
6261,Rzk4U1hDRGFQQ0I1Yw==                                                                                                                                                                                                                                            ,RzlIVWlwTXAydVhIQQ==                                                                                                                                                                                                                                            ,01010000007BC8880A24DD54C06CB7200536F54040,Rzlva0FWWVh3ZXhycw==                                                                                                                                                                                                                                            ,331,43,1894,RzlyWU9YUzI4cGZsMg==                                                                                                                                                                                                                                            ,-83.4553,33.9157
6263,RzkzWDdramRybTFxNg==                                                                                                                                                                                                                                            ,RzlsUVdUUjFtZHhqcw==                                                                                                                                                                                                                                            ,0101000000809A85C5B3DF234072AAB67EF9C34940,RzkvYlVINk9kQzRhWQ==                                                                                                                                                                                                                                            ,888,10,1958,RzlqYk9KU2hjZTR0Yw==                                                                                                                                                                                                                                            ,9.93692,51.5311
5458,RzltQzF4YnBSenRRNg==                                                                                                                                                                                                                                            ,RzlWZk02ZXNmbWs3VQ==                                                                                                                                                                                                                                            ,0101000000FDF675E09C9113409D11A5BDC12F4A40,RzlWdEF5R1duc0swaw==                                                                                                                                                                                                                                            ,1012509,71281,8920329,RzlQSXg4YlhEQXVSNg==                                                                                                                                                                                                                                            ,4.8922,52.3731
5451,RzlyRE9yUUlTbHFMZw==                                                                                                                                                                                                                                            ,Rzk0dTlTd25ydGo3VQ==                                                                                                                                                                                                                                            ,010100000059C0046EDDDD2340787AA52C43C44940,RzlWdEF5R1duc0swaw==                                                                                                                                                                                                                                            ,15456,2766,76166,RzlyWU9YUzI4cGZsMg==                                                                                                                                                                                                                                            ,9.93333,51.5333
5778,RzkzL1lMYkI0czgvNg==                                                                                                                                                                                                                                            ,RzlXd2NKS1hld2dKdw==                                                                                                                                                                                                                                            ,01010000000DA661F888882140545227A089684940,RzlWdEF5R1duc0swaw==                                                                                                                                                                                                                                            ,10296,654,53545,RzlyWU9YUzI4cGZsMg==                                                                                                                                                                                                                                            ,8.76667,50.8167
5459,RzkwanhCdS4ueS9Jcw==                                                                                                                                                                                                                                            ,RzlJRjBteDMxRTFFLg==                                                                                                                                                                                                                                            ,01010000008DC31D76E6971340C222ED1171304A40,Rzlva0FWWVh3ZXhycw==                                                                                                                                                                                                                                            ,211,38,6238,RzlyWU9YUzI4cGZsMg==                                                                                                                                                                                                                                            ,4.89834,52.3785
